date,close,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,return
2009-03-11,317.91,9.74,27.02,9.34,12.27,-1.01,-7.57,-9.25,-20.08,-19.27,1.76779591708
2009-03-12,323.53,5.62,15.36,32.64,14.96,17.89,4.61,-1.95,-3.63,-14.46,0.275090408927
2009-03-13,324.42,0.89,6.51,16.25,33.53,15.85,18.78,5.5,-1.06,-2.74,-1.45798656063
2009-03-16,319.69,-4.73,-3.84,1.78,11.52,28.8,11.12,14.05,0.77,-5.79,4.89536738716
2009-03-17,335.34,15.65,10.92,11.81,17.43,27.17,44.45,26.77,29.7,16.42,-0.667978767818
2009-03-18,333.1,-2.24,13.41,8.68,9.57,15.19,24.93,42.21,24.53,27.46,-0.948664064845
2009-03-19,329.94,-3.16,-5.4,10.25,5.52,6.41,12.03,21.77,39.05,21.37,0.0666787900831
2009-03-20,330.16,0.22,-2.94,-5.18,10.47,5.74,6.63,12.25,21.99,39.27,5.58547370972
2009-03-23,348.601,18.441,18.661,15.501,13.261,28.911,24.181,25.071,30.691,40.431,-0.367468825391
2009-03-24,347.32,-1.281,17.16,17.38,14.22,11.98,27.63,22.9,23.79,29.41,-0.935736496603
2009-03-25,344.07,-3.25,-4.531,13.91,14.13,10.97,8.73,24.38,19.65,20.54,2.67968727294
2009-03-26,353.29,9.22,5.97,4.689,23.13,23.35,20.19,17.95,33.6,28.87,-1.58226952362
2009-03-27,347.7,-5.59,3.63,0.38,-0.901,17.54,17.76,14.6,12.36,28.01,-1.44089732528
2009-03-30,342.69,-5.01,-10.6,-1.38,-4.63,-5.911,12.53,12.75,9.59,7.35,1.56701391929
2009-03-31,348.06,5.37,0.36,-5.23,3.99,0.74,-0.541,17.9,18.12,14.96,1.7324599207
2009-04-01,354.09,6.03,11.4,6.39,0.8,10.02,6.77,5.489,23.93,24.15,2.3751023751
2009-04-02,362.5,8.41,14.44,19.81,14.8,9.21,18.43,15.18,13.899,32.34,2.00827586207
2009-04-03,369.78,7.28,15.69,21.72,27.09,22.08,16.49,25.71,22.46,21.179,-0.416463843366
2009-04-06,368.24,-1.54,5.74,14.15,20.18,25.55,20.54,14.95,24.17,20.92,-2.60427981751
2009-04-07,358.65,-9.59,-11.13,-3.85,4.56,10.59,15.96,10.95,5.36,14.58,0.934058274083
2009-04-08,362.0,3.35,-6.24,-7.78,-0.5,7.91,13.94,19.31,14.3,8.71,2.90055248619
2009-04-09,372.5,10.5,13.85,4.26,2.72,10.0,18.41,24.44,29.81,24.8,1.50604026846
2009-04-13,378.11,5.61,16.11,19.46,9.87,8.33,15.61,24.02,30.05,35.42,-2.43315437307
2009-04-14,368.91,-9.2,-3.59,6.91,10.26,0.67,-0.87,6.41,14.82,20.85,2.87061885013
2009-04-15,379.5,10.59,1.39,7.0,17.5,20.85,11.26,9.72,17.0,25.41,2.4347826087
2009-04-16,388.74,9.24,19.83,10.63,16.24,26.74,30.09,20.5,18.96,26.24,0.900344703401
